Date,IWMI cms,SudanBorder_Tesfaye,ElDiemTadesse
1/1/1960,301.00,,
2/1/1960,213.00,,
3/1/1960,147.00,,
4/1/1960,117.00,,
5/1/1960,148.00,,
6/1/1960,388.00,,
7/1/1960,2300.00,,
8/1/1960,5380.00,,
9/1/1960,4813.00,,
10/1/1960,2366.00,,
11/1/1960,1045.00,,
12/1/1960,527.00,,
1/1/1961,309.00,,
2/1/1961,205.00,,
3/1/1961,141.00,,
4/1/1961,178.00,,
5/1/1961,135.00,,
6/1/1961,383.00,1035.57,
7/1/1961,3407.00,3899.97,
8/1/1961,6909.00,7239.81,
9/1/1961,6177.00,6767.87,
10/1/1961,3713.00,4290.61,
11/1/1961,1588.00,1702.00,
12/1/1961,885.00,,
1/1/1962,394.00,,
2/1/1962,256.00,,
3/1/1962,201.00,,
4/1/1962,142.00,,
5/1/1962,154.00,,
6/1/1962,439.00,668.37,
7/1/1962,1685.00,2347.26,
8/1/1962,4684.00,6298.55,
9/1/1962,5305.00,5587.40,
10/1/1962,3368.00,3174.65,
11/1/1962,988.00,987.07,
12/1/1962,521.00,531.42,
1/1/1963,318.00,,
2/1/1963,207.00,317.74,
3/1/1963,146.00,190.36,
4/1/1963,143.00,123.61,
5/1/1963,264.00,144.60,
6/1/1963,490.00,461.48,
7/1/1963,2301.00,,
8/1/1963,6211.00,,
9/1/1963,4763.00,,
10/1/1963,2152.00,,
11/1/1963,937.00,,
12/1/1963,715.00,,
1/1/1964,374.00,344.35,
2/1/1964,247.00,209.86,
3/1/1964,143.00,138.50,
4/1/1964,122.00,206.46,
5/1/1964,132.00,151.77,
6/1/1964,488.00,608.97,
7/1/1964,3228.00,3970.74,
8/1/1964,6571.00,6890.00,
9/1/1964,5975.00,5550.07,
10/1/1964,4442.00,3844.77,
11/1/1964,1444.00,1409.57,
12/1/1964,730.00,747.39,
1/1/1965,425.00,415.68,
2/1/1965,259.00,269.18,
3/1/1965,162.00,163.81,
4/1/1965,177.00,184.10,
5/1/1965,106.00,73.61,
6/1/1965,272.00,696.00,
7/1/1965,1879.00,2186.19,
8/1/1965,4788.00,4938.19,
9/1/1965,3902.00,3583.40,
10/1/1965,2920.00,3411.13,
11/1/1965,1193.00,,
12/1/1965,672.00,,
